Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04,,,1325.7235107421875,1436.808349609375,3886.439697265625,1466.3203125,,1338.5156906678078,1450.511814804534,3951.4052537889265,1485.9297198935935,,1322.0543701938611,1431.9142548968182,3878.913356135383,1463.334119430687,,1331.375810196628,1448.3583414401685,3946.4536181325493,1477.07065615293,,15211183,8691330,2042881,10007806
2025-11-06,,,1309.3614501953125,1435.6336669921875,3844.053955078125,1489.2144775390625,,1330.979129069885,1451.58846323567,3939.521395450818,1494.6891648996161,,1306.386530263507,1430.9354078512456,3834.6458471704373,1469.406038969176,,1318.88116976713,1447.2816360762577,3906.8405995609546,1477.1701896475465,,24221853,7944752,1749063,16772678
2025-11-07,,,1331.7724609375,1445.5198974609375,3844.945068359375,1471.19775390625,,1333.0616413002483,1449.533031326473,3855.2443737626,1491.5038906434634,,1307.576421800604,1418.4065403991735,3794.0423507725736,1469.1074431042953,,1309.3614221413634,1438.8638806951196,3839.5973985882933,1487.7213309001133,,7719245,8765759,1577294,7821765
2025-11-10,,,1336.730712890625,1481.4425048828125,3880.596923828125,1482.44580078125,,1338.3173126722259,1487.8048281611332,3905.652248992122,1494.0919049344996,,1329.7892329275433,1458.4402591842686,3856.3339087372,1468.7092643110286,,1331.6733731274833,1458.5381171839108,3857.3242358837683,1471.0982430243503,,8542340,9787975,1397176,7068438
2025-11-11,,,1346.944580078125,1497.88671875,3916.74365234375,1486.5269775390625,,1349.0269997439532,1500.9210336624128,3928.4295603955593,1491.9021495222175,,1334.9456399539874,1479.0933228205395,3859.3046809566613,1473.3876547459602,,1337.7222802082897,1492.6989304110698,3890.9951479288484,1490.1103850249956,,8305184,13692989,1775462,7127506
2025-11-12,,,1347.53955078125,1518.8333740234375,3916.34765625,1504.5435791015625,,1358.5467300041707,1526.1745164244364,3935.361888262145,1517.6827797499902,,1344.0688109600715,1505.5214596999074,3898.8186731125243,1493.0965058897411,,1358.5467300041707,1507.3812396717751,3931.5985969168373,1498.0734942427068,,9736761,14635417,981350,12384459
2025-11-13,,,1374.3138427734375,1509.14306640625,3963.7841796875,1503.9464111328125,,1378.7762225869417,1524.5104757353395,3983.9867556218724,1515.0948167835015,,1347.142883699029,1497.8866487683968,3887.628123140424,1499.8653048593553,,1347.5395638924115,1524.1189242683809,3916.3476087646436,1508.0275174062697,,18296626,19655689,1834962,7196443
2025-11-14,,,1361.521728515625,1470.9691162109375,3965.665771484375,1511.9095458984375,,1369.653128146561,1497.59294295853,3972.6971906573467,1513.900341239272,,1351.8036080349211,1457.2656513734084,3933.1832357904595,1498.5711928131457,,1362.513368521827,1487.8047537888665,3963.2890831386517,1498.5711928131457,,9694498,9739549,1916910,7682823
2025-11-17,,,1367.4715576171875,1475.66748046875,3988.740478515625,1511.3123779296875,,1370.9422976111398,1478.212385937251,3991.018279239245,1516.6874283079178,,1362.1166774165574,1460.8873376663598,3961.4075951694253,1504.5436249599409,,1363.6041374139656,1464.3132041198487,3965.6658083468374,1513.900387650411,,7660717,7910354,1206133,5871416
2025-11-18,,,1361.9183349609375,1454.91650390625,3960.912353515625,1512.4072265625,,1371.2397747243117,1474.1013313334302,3987.8492021957804,1520.7685911952462,,1357.6542347453071,1451.784211591062,3940.4123891863123,1503.5481631005248,,1368.6614140079962,1474.1013313334302,3981.1149295809723,1514.696568271851,,9529560,7525119,1748928,11045042
2025-11-19,,,1371.5372314453125,1508.4578857421875,3980.718994140625,1511.9095458984375,,1372.4297316368286,1510.317665675936,3987.5521545670804,1515.2939222795571,,1360.133371680989,1458.9296699222182,3941.799089911349,1505.0412776708577,,1362.0175118520117,1458.9296699222182,3968.24077569857,1510.4164493928117,,10393918,10981126,923032,5692366
2025-11-20,,,1371.4381103515625,1503.955322265625,3998.3466796875,1541.9705810546875,,1376.6938507345087,1522.0634729079381,4008.844244034204,1543.7623455509595,,1363.9016706145442,1501.5082748815287,3968.934012122414,1519.6736478639639,,1368.5623301618334,1522.0634729079381,3995.9699912742126,1522.9585089376258,,10131863,7387584,1463574,18171724
2025-11-21,,,1358.0509033203125,1512.2752685546875,3985.967529296875,1539.4820556640625,,1364.4965629563708,1518.6375916910017,4017.757126566254,1550.6305827884978,,1353.1918433847088,1493.9714020948772,3976.361404586955,1533.0119706260582,,1361.5216431243439,1498.5718033380108,3987.056985840705,1533.9078528560988,,11483595,9186302,1241149,9615271
2025-11-24,,,1356.960205078125,1515.2117919921875,3974.47998046875,1528.831298828125,,1365.488284898759,1551.4280945139647,3998.941012601106,1542.8663816107544,,1350.1178648436169,1508.3600590826622,3964.9727431625206,1524.7501927010492,,1361.8192653055182,1530.4813442936104,3986.0667597125935,1542.8663816107544,,15896003,19270381,1584741,18433951
2025-11-25,,,1346.4488525390625,1498.1802978515625,3958.040283203125,1532.61376953125,,1365.3891524995797,1517.7566773334454,4016.2715652006113,1552.4222077972818,,1342.978112507823,1493.5798964672151,3943.086489019054,1518.0809876078647,,1353.5886121834044,1516.1905908718425,3974.182663333758,1528.8313312270848,,12235000,8107952,1749083,15033482
2025-11-26,,,1363.5050048828125,1524.902099609375,4022.708740234375,1562.6748046875,,1365.4882848899147,1527.251289037942,4035.186958592229,1564.3669320995493,,1348.5312650391513,1499.6485223505715,3959.3278048884863,1533.4100892950657,,1348.6304048295453,1499.6485223505715,3960.318132003266,1535.2018536795324,,9659004,7575038,2058237,14054299
2025-11-27,,,1380.5611572265625,1533.2220458984375,4041.822021484375,1556.2047119140625,,1382.3461576434415,1540.954739594805,4099.954173609447,1568.2489991897637,,1364.1990972544559,1519.3227449478784,4020.331971877068,1548.8387449947777,,1367.471557668799,1530.8728564928056,4031.6216040492895,1567.7513003642512,,15158741,7552252,2225064,9794643
2025-11-28,,,1377.189697265625,1527.055419921875,4030.2353515625,1560.285888671875,,1386.8085569633604,1535.179665000364,4064.5007666881884,1574.0224254817672,,1374.0163765969262,1524.0211050739736,4015.4793323803274,1555.806599039324,,1380.3628968845176,1531.8516566735827,4045.486292526487,1560.7835875199362,,7683986,4453221,1318133,8959508
2025-12-01,,,1378.478759765625,1530.872802734375,4033.80029296875,1558.892333984375,,1388.2960201178482,1540.6609920101703,4063.7081230151744,1570.2398922139623,,1373.8181001180092,1523.042251313739,4010.8247526182095,1556.403839701944,,1382.3461800316288,1529.4045743430058,4047.46685529645,1567.7513979315313,,8867593,5341800,1251770,8920233
2025-12-02,,,1361.521728515625,1527.9364013671875,3991.513427734375,1539.1834716796875,,1370.2482089901266,1546.4361036663386,4049.0515296938343,1560.2858537619331,,1359.1417682907786,1523.1401645511503,3984.878284435106,1534.9032130787248,,1370.2482089901266,1533.8093151456649,4027.1652037915483,1553.9152843475838,,12126396,6335969,1490917,11389150
