date,nav
17-03-2025,1110.96400
13-03-2025,1105.77200
12-03-2025,1108.60200
11-03-2025,1108.83200
10-03-2025,1109.31700
07-03-2025,1116.51700
06-03-2025,1118.36300
05-03-2025,1108.36800
04-03-2025,1095.15000
03-03-2025,1097.26800
28-02-2025,1096.79800
27-02-2025,1117.65700
25-02-2025,1119.04400
24-02-2025,1118.67900
21-02-2025,1131.17300
20-02-2025,1137.33700
19-02-2025,1136.72100
18-02-2025,1133.81200
17-02-2025,1134.31300
14-02-2025,1133.57700
13-02-2025,1141.25700
12-02-2025,1140.83900
11-02-2025,1140.46400
10-02-2025,1158.57000
07-02-2025,1167.57800
06-02-2025,1167.08600
05-02-2025,1172.24400
04-02-2025,1174.40900
03-02-2025,1153.62500
31-01-2025,1161.85300
30-01-2025,1148.86100
29-01-2025,1147.33700
28-01-2025,1135.50400
27-01-2025,1131.08500
24-01-2025,1145.10200
23-01-2025,1151.56300
22-01-2025,1147.09900
21-01-2025,1143.16500
20-01-2025,1161.68300
17-01-2025,1154.25600
16-01-2025,1157.78900
15-01-2025,1151.95000
14-01-2025,1148.88900
13-01-2025,1141.96300
10-01-2025,1160.51100
09-01-2025,1170.39000
08-01-2025,1176.72300
07-01-2025,1180.35300
06-01-2025,1176.49200
03-01-2025,1195.40100
02-01-2025,1202.08000
01-01-2025,1183.01000
31-12-2024,1178.56700
30-12-2024,1177.09800
27-12-2024,1183.32400
26-12-2024,1180.99900
24-12-2024,1180.43500
23-12-2024,1180.46800
20-12-2024,1173.19200
19-12-2024,1190.55300
18-12-2024,1201.06900
17-12-2024,1209.50200
16-12-2024,1224.70000
13-12-2024,1228.29100
12-12-2024,1218.57300
11-12-2024,1225.68500
10-12-2024,1225.64800
09-12-2024,1224.89300
06-12-2024,1228.84500
05-12-2024,1228.74800
04-12-2024,1217.76500
03-12-2024,1215.62300
02-12-2024,1207.46400
29-11-2024,1202.55100
28-11-2024,1191.50400
27-11-2024,1206.56300
26-11-2024,1202.95300
25-11-2024,1206.52100
22-11-2024,1189.36400
21-11-2024,1165.01300
19-11-2024,1172.10600
18-11-2024,1168.68700
14-11-2024,1172.43400
13-11-2024,1172.94200
12-11-2024,1187.89700
11-11-2024,1200.43300
08-11-2024,1200.41700
07-11-2024,1204.95900
06-11-2024,1218.30200
05-11-2024,1206.61100
04-11-2024,1195.86200
31-10-2024,1207.16700
30-10-2024,1210.18900
29-10-2024,1215.41800
28-10-2024,1209.07900
25-10-2024,1204.36900
24-10-2024,1217.95400
23-10-2024,1220.07000
22-10-2024,1223.90700
21-10-2024,1241.02000
18-10-2024,1247.30600
17-10-2024,1239.43600
16-10-2024,1252.40200
15-10-2024,1256.87400
14-10-2024,1257.21800
11-10-2024,1248.35800
10-10-2024,1249.13000
09-10-2024,1249.58900
08-10-2024,1249.55900
07-10-2024,1237.64600
04-10-2024,1252.22300
03-10-2024,1261.67200
01-10-2024,1288.43300
30-09-2024,1290.64600
27-09-2024,1306.52200
26-09-2024,1309.43300
25-09-2024,1303.79500
24-09-2024,1302.14300
23-09-2024,1302.59500
20-09-2024,1294.67200
19-09-2024,1275.59400
18-09-2024,1272.88800
17-09-2024,1275.27800
16-09-2024,1272.53200
13-09-2024,1266.23300
12-09-2024,1269.50700
11-09-2024,1245.71100
10-09-2024,1253.01000
09-09-2024,1245.80800
06-09-2024,1241.12800
05-09-2024,1257.62600
04-09-2024,1258.77300
03-09-2024,1263.74400
02-09-2024,1263.00500
30-08-2024,1264.33200
29-08-2024,1259.39100
28-08-2024,1255.73000
27-08-2024,1254.38500
26-08-2024,1253.35000
23-08-2024,1243.15700
22-08-2024,1241.29000
21-08-2024,1239.96200
20-08-2024,1236.08900
19-08-2024,1230.30500
16-08-2024,1230.72900
14-08-2024,1212.03600
13-08-2024,1212.13800
12-08-2024,1221.74200
09-08-2024,1222.55800
08-08-2024,1211.90900
07-08-2024,1218.76900
06-08-2024,1200.20200
05-08-2024,1205.15600
02-08-2024,1235.51200
01-08-2024,1248.95300
31-07-2024,1245.66400
30-07-2024,1238.82200
29-07-2024,1236.22000
26-07-2024,1235.16900
25-07-2024,1214.47100
24-07-2024,1214.83400
23-07-2024,1215.09900
22-07-2024,1215.71300
19-07-2024,1213.81900
18-07-2024,1228.70300
16-07-2024,1222.25000
15-07-2024,1221.91800
12-07-2024,1216.51600
11-07-2024,1211.46700
10-07-2024,1211.56500
09-07-2024,1214.48300
08-07-2024,1208.81100
05-07-2024,1207.81200
04-07-2024,1206.01700
03-07-2024,1201.29800
02-07-2024,1191.88100
01-07-2024,1194.03100
28-06-2024,1189.04200
27-06-2024,1192.36600
26-06-2024,1184.75600
25-06-2024,1177.08600
24-06-2024,1169.10200
21-06-2024,1166.52800
20-06-2024,1169.57600
19-06-2024,1167.46000
18-06-2024,1171.27100
14-06-2024,1166.71400
13-06-2024,1163.57200
12-06-2024,1159.64400
11-06-2024,1154.74500
10-06-2024,1155.36000
07-06-2024,1155.05400
06-06-2024,1134.57900
05-06-2024,1122.26100
04-06-2024,1085.82000
03-06-2024,1167.75000
31-05-2024,1128.44700
30-05-2024,1125.26600
29-05-2024,1133.29700
28-05-2024,1142.07700
27-05-2024,1146.46500
24-05-2024,1147.00400
23-05-2024,1144.64700
22-05-2024,1130.38400
21-05-2024,1125.72400
17-05-2024,1120.34600
16-05-2024,1116.62600
15-05-2024,1105.78700
14-05-2024,1102.81900
13-05-2024,1097.70400
10-05-2024,1097.48900
09-05-2024,1090.04800
08-05-2024,1109.10600
07-05-2024,1106.05700
06-05-2024,1116.65000
03-05-2024,1119.37800
02-05-2024,1125.73600
30-04-2024,1122.73500
29-04-2024,1124.53200
26-04-2024,1112.00700
25-04-2024,1116.76900
24-04-2024,1109.28900
23-04-2024,1106.25900
22-04-2024,1104.28100
19-04-2024,1094.58600
18-04-2024,1090.46400
16-04-2024,1098.08900
15-04-2024,1104.00700
12-04-2024,1116.36300
10-04-2024,1125.60200
09-04-2024,1118.75800
08-04-2024,1120.40600
05-04-2024,1113.53300
04-04-2024,1112.79300
03-04-2024,1110.49500
02-04-2024,1109.84100
01-04-2024,1109.48900
31-03-2024,1101.85200
28-03-2024,1101.90100
27-03-2024,1093.35700
26-03-2024,1088.57900
22-03-2024,1090.01300
21-03-2024,1084.77000
20-03-2024,1072.29400
19-03-2024,1072.38200
18-03-2024,1084.96200
15-03-2024,1083.15000
14-03-2024,1091.46000
13-03-2024,1083.60800
12-03-2024,1105.48100
11-03-2024,1108.62100
07-03-2024,1116.64600
06-03-2024,1113.90700
05-03-2024,1108.23500
04-03-2024,1107.17100
01-03-2024,1101.64300
29-02-2024,1083.26700
28-02-2024,1079.95700
27-02-2024,1090.74400
26-02-2024,1086.10500
23-02-2024,1090.06700
22-02-2024,1089.79700
21-02-2024,1080.89700
